policy,site,lead_scenario,mean_lead_hours,EENS_mean,EENS_std,EENS_min,EENS_max,diesel_mean,stockout_mean,uptime_mean,cost_mean,n,EENS_sem,EENS_ci95_lo,EENS_ci95_hi
rlinv,site2,normal,24,0.0,0.0,0.0,0.0,749.5614199999999,0.0,100.0,1713.2071914285712,100,0.0,0.0,0.0
rlinv,site2,delayed,48,14.362798,56.40245970072687,0.0,337.3772,735.198622,0.0,99.50277799999999,1698.844393428571,100,5.640245970072687,3.3079158986575337,25.417680101342466
rlinv,site2,monsoon,72,44.055119999999995,98.19932291198201,0.0,414.2032,705.5063,0.0,98.452778,1669.1520714285712,100,9.819932291198201,24.80805270925152,63.30218729074847
rlinv,site2,very_delayed,120,100.014026,148.58016036875642,0.0,542.6074,649.5473939999999,0.0,96.47499900000001,1613.1931654285713,100,14.858016036875643,70.89231456772374,129.13573743227627
rlinv,site2,extreme,336,216.585526,172.60475676236285,0.0,582.5134,532.975894,0.0,92.325,1496.6216654285713,100,17.260475676236286,182.75499367457687,250.4160583254231
rlinv,site5,no_delay,0,0.0,0.0,0.0,0.0,710.6301599999999,0.0,100.0,1392.7551885714286,100,0.0,0.0,0.0
rlinv,site5,fast,12,0.0,0.0,0.0,0.0,710.6301599999999,0.0,100.0,1392.7551885714286,100,0.0,0.0,0.0
rlinv,site5,normal,24,0.0,0.0,0.0,0.0,710.6301599999999,0.0,100.0,1392.7551885714286,100,0.0,0.0,0.0
rlinv,site5,delayed,48,16.0520788,55.53755823543099,0.0,356.33564,694.5780811999998,0.0,99.316668,1376.7031097714287,100,5.553755823543099,5.1667173858555255,26.937440214144473
rlinv,site5,monsoon,72,53.448149199999996,99.97184028909277,0.0,429.51444,657.1820108,0.0,97.727781,1339.3070393714286,100,9.997184028909277,33.853668503337815,73.04262989666218
rlinv,site5,very_delayed,120,115.3305252,149.70844978464038,0.0,542.88604,595.2996348,0.0,95.069444,1277.4246633714286,100,14.970844978464038,85.98766904221048,144.6733813577895
rlinv,site5,extreme,336,246.640664,154.99463218050528,0.0,570.97232,463.989496,0.0,89.347221,1146.1145245714285,100,15.499463218050527,216.26171609262096,277.01961190737904
rlinv,site7,no_delay,0,0.0,0.0,0.0,0.0,276.784,0.0,100.0,582.9016857142857,100,0.0,0.0,0.0
rlinv,site7,fast,12,0.0,0.0,0.0,0.0,276.784,0.0,100.0,582.9016857142857,100,0.0,0.0,0.0
rlinv,site7,normal,24,0.14255,1.0028769839564047,0.0,7.1275,276.64145,0.0,99.983334,582.7591357142857,100,0.10028769839564047,-0.05401388885545533,0.33911388885545535
