site,policy,lead_scenario,EENS_kWh
site7,multi,monsoon,14.977875200000001
site7,multi,normal,0.14255
site7,rlinv,delayed,5.433487100000001
site7,rlinv,extreme,74.09560040000001
site7,rlinv,monsoon,15.104381200000002
site7,rlinv,normal,0.14255
site7,trackb,delayed,5.126102800000001
site7,trackb,extreme,198.06348000000003
site7,trackb,monsoon,214.0673084
site7,trackb,normal,1.8797507000000002
site8,a5,delayed,0.17500800000000002
site8,a5,extreme,0.288336
site8,a5,monsoon,0.288336
site8,a5,normal,0.04692
site8,a6,delayed,0.14670000000000002
site8,a6,extreme,0.257136
site8,a6,monsoon,0.26292
site8,a6,normal,0.04692
site8,a7,delayed,0.257136
site8,a7,extreme,0.32939999999999997
site8,a7,monsoon,0.32939999999999997
site8,a7,normal,0.087984
site8,b0,delayed,0.37046399999999996
site8,b0,extreme,0.37046399999999996
site8,b0,monsoon,0.37046399999999996
site8,b0,normal,0.2982
site8,b1,delayed,0.184872
site8,b1,extreme,0.2982
site8,b1,monsoon,0.2982
site8,b1,normal,0.097608
site8,multi,delayed,0.216072
site8,multi,extreme,0.257136
site8,multi,monsoon,0.257136
site8,multi,normal,0.119184
site8,rlinv,delayed,0.14380800000000002
site8,rlinv,extreme,0.257136
site8,rlinv,monsoon,0.257136
site8,rlinv,normal,0.04692
site8,trackb,delayed,0.14380800000000002
site8,trackb,extreme,12.379636
site8,trackb,monsoon,14.515696
site8,trackb,normal,0.04692
site9,a5,delayed,0.0
site9,a5,extreme,0.0
site9,a5,monsoon,0.0
site9,a5,normal,0.0
site9,a6,delayed,0.0
site9,a6,extreme,0.0
site9,a6,monsoon,0.008160000000000164
site9,a6,normal,0.0
site9,a7,delayed,0.0
site9,a7,extreme,0.0
site9,a7,monsoon,0.0
site9,a7,normal,0.0
site9,b0,delayed,0.008536399999999984
site9,b0,extreme,0.2252092
site9,b0,monsoon,0.028642799999999972
site9,b0,normal,0.008536399999999984
site9,b1,delayed,0.0
site9,b1,extreme,0.13697919999999997
site9,b1,monsoon,0.020106399999999986
site9,b1,normal,0.0
site9,multi,delayed,0.0
site9,multi,extreme,0.0
site9,multi,monsoon,0.0
site9,multi,normal,0.0
site9,rlinv,delayed,0.0
site9,rlinv,extreme,0.0
site9,rlinv,monsoon,0.0
site9,rlinv,normal,0.0
site9,trackb,delayed,0.0
site9,trackb,extreme,34.584949200000004
site9,trackb,monsoon,48.8568032
site9,trackb,normal,0.0
