policy,lead_scenario,site,seed,EENS_mean,diesel_mean,uptime_mean
a5,extreme,site9,999,0.0,57.56046000000001,100.0
a5,monsoon,site1,7,0.0,36.545,100.0
a5,monsoon,site1,13,0.0,36.545,100.0
a5,monsoon,site1,21,0.0,36.545,100.0
a5,monsoon,site1,42,0.0,36.545,100.0
a5,monsoon,site1,99,0.0,36.545,100.0
a5,monsoon,site1,123,0.0,36.545,100.0
a5,monsoon,site1,314,0.0,36.545,100.0
a5,monsoon,site1,500,0.0,36.545,100.0
a5,monsoon,site1,777,0.0,36.545,100.0
a5,monsoon,site1,999,0.0,36.545,100.0
a5,monsoon,site10,7,0.0,41.66501000000001,100.0
a5,monsoon,site10,13,0.0,41.66501000000001,100.0
a5,monsoon,site10,21,0.0,41.66501000000001,100.0
a5,monsoon,site10,42,0.0,41.66501000000001,100.0
a5,monsoon,site10,99,0.0,41.66501000000001,100.0
a5,monsoon,site10,123,0.0,41.66501000000001,100.0
a5,monsoon,site10,314,0.0,41.66501000000001,100.0
a5,monsoon,site10,500,0.0,41.66501000000001,100.0
a5,monsoon,site10,777,0.0,41.66501000000001,100.0
a5,monsoon,site10,999,0.0,41.66501000000001,100.0
a5,monsoon,site2,7,36.67552,712.8859,98.66667
a5,monsoon,site2,13,24.0901,725.47132,99.16666000000001
a5,monsoon,site2,21,116.27884000000002,633.2825799999999,95.99999
a5,monsoon,site2,42,14.0648,735.49662,99.41667
a5,monsoon,site2,99,53.82894,695.73248,98.13888
a5,monsoon,site2,123,72.44718,677.11424,97.47223
a5,monsoon,site2,314,9.0857,740.47572,99.72222000000001
a5,monsoon,site2,500,45.719680000000004,703.8417400000001,98.41667
a5,monsoon,site2,777,0.0,749.56142,100.0
a5,monsoon,site2,999,56.40244,693.1589799999999,97.91667
a5,monsoon,site3,7,0.0,122.62310000000005,100.0
a5,monsoon,site3,13,0.0,122.62310000000005,100.0
a5,monsoon,site3,21,0.0,122.62310000000005,100.0
a5,monsoon,site3,42,0.0,122.62310000000005,100.0
a5,monsoon,site3,99,0.0,122.62310000000005,100.0
a5,monsoon,site3,123,0.0,122.62310000000005,100.0
a5,monsoon,site3,314,0.0,122.62310000000005,100.0
a5,monsoon,site3,500,0.0,122.62310000000005,100.0
a5,monsoon,site3,777,0.0,122.62310000000005,100.0
a5,monsoon,site3,999,0.0,122.62310000000005,100.0
a5,monsoon,site4,7,0.0,207.05554,100.0
a5,monsoon,site4,13,0.0,207.05554,100.0
a5,monsoon,site4,21,0.0,207.05554,100.0
a5,monsoon,site4,42,0.0,207.05554,100.0
a5,monsoon,site4,99,0.0,207.05554,100.0
a5,monsoon,site4,123,0.0,207.05554,100.0
a5,monsoon,site4,314,0.0,207.05554,100.0
a5,monsoon,site4,500,0.0,207.05554,100.0
a5,monsoon,site4,777,0.0,207.05554,100.0
a5,monsoon,site4,999,0.0,207.05554,100.0
a5,monsoon,site5,7,56.784524,653.845636,97.83333999999999
a5,monsoon,site5,13,35.916,674.71416,98.66667
a5,monsoon,site5,21,123.86607599999999,586.764084,94.91667
a5,monsoon,site5,42,31.382908000000004,679.2472519999999,98.66667
a5,monsoon,site5,99,85.76905200000002,624.861108,96.19444999999999
a5,monsoon,site5,123,79.36880799999999,631.261352,96.61112
a5,monsoon,site5,314,24.462192000000005,686.167968,98.83333
a5,monsoon,site5,500,39.960444,670.669716,98.38889
a5,monsoon,site5,777,14.969604,695.6605559999999,99.22222000000001
a5,monsoon,site5,999,68.06938,642.56078,96.94444
a5,monsoon,site6,7,0.0,0.0,100.0
a5,monsoon,site6,13,0.0,0.0,100.0
a5,monsoon,site6,21,0.0,0.0,100.0
a5,monsoon,site6,42,0.0,0.0,100.0
a5,monsoon,site6,99,0.0,0.0,100.0
a5,monsoon,site6,123,0.0,0.0,100.0
a5,monsoon,site6,314,0.0,0.0,100.0
a5,monsoon,site6,500,0.0,0.0,100.0
a5,monsoon,site6,777,0.0,0.0,100.0
a5,monsoon,site6,999,0.0,0.0,100.0
a5,monsoon,site7,7,19.64905,257.13495,98.36111
a5,monsoon,site7,13,10.303787000000002,266.480213,99.08333
a5,monsoon,site7,21,42.913844000000005,233.870156,96.3889
a5,monsoon,site7,42,4.32138,272.46261999999996,99.66667
a5,monsoon,site7,99,16.87324,259.91076,98.66666000000001
a5,monsoon,site7,123,28.621704000000005,248.16229599999997,97.61111
a5,monsoon,site7,314,1.1742000000000001,275.6098,99.86111
a5,monsoon,site7,500,15.827497,260.956503,98.66667
a5,monsoon,site7,777,2.28825,274.49575,99.80556
a5,monsoon,site7,999,20.48126,256.30274,98.25
a5,monsoon,site8,7,0.0,26.8936,100.0
a5,monsoon,site8,13,0.0,26.8936,100.0
a5,monsoon,site8,21,0.41064,26.48296,99.88889
a5,monsoon,site8,42,0.0,26.8936,100.0
a5,monsoon,site8,99,0.0,26.8936,100.0
a5,monsoon,site8,123,0.95724,25.93636,99.75
a5,monsoon,site8,314,0.0,26.8936,100.0
a5,monsoon,site8,500,0.312,26.581599999999998,99.94444
a5,monsoon,site8,777,0.0,26.8936,100.0
a5,monsoon,site8,999,1.20348,25.69012,99.66667
a5,monsoon,site9,7,0.0,57.56046000000001,100.0
a5,monsoon,site9,13,0.0,57.56046000000001,100.0
a5,monsoon,site9,21,0.0,57.56046000000001,100.0
a5,monsoon,site9,42,0.0,57.56046000000001,100.0
a5,monsoon,site9,99,0.0,57.56046000000001,100.0
a5,monsoon,site9,123,0.0,57.56046000000001,100.0
a5,monsoon,site9,314,0.0,57.56046000000001,100.0
a5,monsoon,site9,500,0.0,57.56046000000001,100.0
a5,monsoon,site9,777,0.0,57.56046000000001,100.0
a5,monsoon,site9,999,0.0,57.56046000000001,100.0
a5,normal,site1,7,0.0,36.545,100.0
a5,normal,site1,13,0.0,36.545,100.0
a5,normal,site1,21,0.0,36.545,100.0
a5,normal,site1,42,0.0,36.545,100.0
a5,normal,site1,99,0.0,36.545,100.0
a5,normal,site1,123,0.0,36.545,100.0
a5,normal,site1,314,0.0,36.545,100.0
a5,normal,site1,500,0.0,36.545,100.0
a5,normal,site1,777,0.0,36.545,100.0
a5,normal,site1,999,0.0,36.545,100.0
a5,normal,site10,7,0.0,41.66501000000001,100.0
a5,normal,site10,13,0.0,41.66501000000001,100.0
a5,normal,site10,21,0.0,41.66501000000001,100.0
a5,normal,site10,42,0.0,41.66501000000001,100.0
a5,normal,site10,99,0.0,41.66501000000001,100.0
a5,normal,site10,123,0.0,41.66501000000001,100.0
a5,normal,site10,314,0.0,41.66501000000001,100.0
a5,normal,site10,500,0.0,41.66501000000001,100.0
a5,normal,site10,777,0.0,41.66501000000001,100.0
a5,normal,site10,999,0.0,41.66501000000001,100.0
a5,normal,site2,7,0.0,749.56142,100.0
a5,normal,site2,13,0.0,749.56142,100.0
a5,normal,site2,21,0.0,749.56142,100.0
a5,normal,site2,42,0.0,749.56142,100.0
a5,normal,site2,99,0.0,749.56142,100.0
a5,normal,site2,123,0.0,749.56142,100.0
a5,normal,site2,314,0.0,749.56142,100.0
a5,normal,site2,500,0.0,749.56142,100.0
a5,normal,site2,777,0.0,749.56142,100.0
a5,normal,site2,999,0.0,749.56142,100.0
a5,normal,site3,7,0.0,122.62310000000005,100.0
a5,normal,site3,13,0.0,122.62310000000005,100.0
a5,normal,site3,21,0.0,122.62310000000005,100.0
a5,normal,site3,42,0.0,122.62310000000005,100.0
a5,normal,site3,99,0.0,122.62310000000005,100.0
a5,normal,site3,123,0.0,122.62310000000005,100.0
a5,normal,site3,314,0.0,122.62310000000005,100.0
a5,normal,site3,500,0.0,122.62310000000005,100.0
a5,normal,site3,777,0.0,122.62310000000005,100.0
a5,normal,site3,999,0.0,122.62310000000005,100.0
a5,normal,site4,7,0.0,207.05554,100.0
a5,normal,site4,13,0.0,207.05554,100.0
a5,normal,site4,21,0.0,207.05554,100.0
a5,normal,site4,42,0.0,207.05554,100.0
a5,normal,site4,99,0.0,207.05554,100.0
a5,normal,site4,123,0.0,207.05554,100.0
a5,normal,site4,314,0.0,207.05554,100.0
a5,normal,site4,500,0.0,207.05554,100.0
a5,normal,site4,777,0.0,207.05554,100.0
a5,normal,site4,999,0.0,207.05554,100.0
a5,normal,site5,7,0.0,710.6301599999999,100.0
a5,normal,site5,13,0.0,710.6301599999999,100.0
a5,normal,site5,21,0.0,710.6301599999999,100.0
a5,normal,site5,42,0.0,710.6301599999999,100.0
a5,normal,site5,99,0.0,710.6301599999999,100.0
a5,normal,site5,123,0.0,710.6301599999999,100.0
a5,normal,site5,314,0.0,710.6301599999999,100.0
a5,normal,site5,500,0.0,710.6301599999999,100.0
a5,normal,site5,777,0.0,710.6301599999999,100.0
a5,normal,site5,999,0.0,710.6301599999999,100.0
a5,normal,site6,7,0.0,0.0,100.0
a5,normal,site6,13,0.0,0.0,100.0
a5,normal,site6,21,0.0,0.0,100.0
a5,normal,site6,42,0.0,0.0,100.0
a5,normal,site6,99,0.0,0.0,100.0
a5,normal,site6,123,0.0,0.0,100.0
a5,normal,site6,314,0.0,0.0,100.0
a5,normal,site6,500,0.0,0.0,100.0
a5,normal,site6,777,0.0,0.0,100.0
a5,normal,site6,999,0.0,0.0,100.0
a5,normal,site7,7,0.0,276.784,100.0
a5,normal,site7,13,0.0,276.784,100.0
a5,normal,site7,21,0.7809999999999999,276.003,99.94444
a5,normal,site7,42,0.0,276.784,100.0
a5,normal,site7,99,0.0,276.784,100.0
a5,normal,site7,123,0.71275,276.07125,99.91667
a5,normal,site7,314,0.0,276.784,100.0
a5,normal,site7,500,0.0,276.784,100.0
a5,normal,site7,777,0.0,276.784,100.0
a5,normal,site7,999,0.71275,276.07125,99.91667
a5,normal,site8,7,0.0,26.8936,100.0
a5,normal,site8,13,0.0,26.8936,100.0
a5,normal,site8,21,0.0,26.8936,100.0
a5,normal,site8,42,0.0,26.8936,100.0
a5,normal,site8,99,0.0,26.8936,100.0
a5,normal,site8,123,0.2346,26.659,99.91667
a5,normal,site8,314,0.0,26.8936,100.0
a5,normal,site8,500,0.0,26.8936,100.0
a5,normal,site8,777,0.0,26.8936,100.0
a5,normal,site8,999,0.2346,26.659,99.91667
a5,normal,site9,7,0.0,57.56046000000001,100.0
a5,normal,site9,13,0.0,57.56046000000001,100.0
a5,normal,site9,21,0.0,57.56046000000001,100.0
a5,normal,site9,42,0.0,57.56046000000001,100.0
a5,normal,site9,99,0.0,57.56046000000001,100.0
a5,normal,site9,123,0.0,57.56046000000001,100.0
a5,normal,site9,314,0.0,57.56046000000001,100.0
a5,normal,site9,500,0.0,57.56046000000001,100.0
a5,normal,site9,777,0.0,57.56046000000001,100.0
a5,normal,site9,999,0.0,57.56046000000001,100.0
a6,delayed,site1,7,0.0,36.545,100.0
a6,delayed,site1,13,0.0,36.545,100.0
a6,delayed,site1,21,0.0,36.545,100.0
a6,delayed,site1,42,0.0,36.545,100.0
a6,delayed,site1,99,0.0,36.545,100.0
a6,delayed,site1,123,0.0,36.545,100.0
a6,delayed,site1,314,0.0,36.545,100.0
a6,delayed,site1,500,0.0,36.545,100.0
a6,delayed,site1,777,0.0,36.545,100.0
a6,delayed,site1,999,0.0,36.545,100.0
a6,delayed,site10,7,0.0,41.66501000000001,100.0
a6,delayed,site10,13,0.0,41.66501000000001,100.0
a6,delayed,site10,21,0.1572809999999997,41.50772900000001,99.97222000000001
a6,delayed,site10,42,0.0,41.66501000000001,100.0
a6,delayed,site10,99,0.0,41.66501000000001,100.0
a6,delayed,site10,123,0.0,41.66501000000001,100.0
a6,delayed,site10,314,0.0,41.66501000000001,100.0
a6,delayed,site10,500,0.0,41.66501000000001,100.0
a6,delayed,site10,777,0.0,41.66501000000001,100.0
a6,delayed,site10,999,0.0,41.66501000000001,100.0
a6,delayed,site2,7,0.0,749.56142,100.0
a6,delayed,site2,13,19.396700000000003,730.16472,99.33333
a6,delayed,site2,21,32.6469,716.91452,98.88889
a6,delayed,site2,42,0.0,749.56142,100.0
a6,delayed,site2,99,8.8897,740.67172,99.72222000000001
a6,delayed,site2,123,31.02686,718.5345599999999,98.91667
a6,delayed,site2,314,5.4292,744.1322200000001,99.83333
a6,delayed,site2,500,3.8045,745.75692,99.83333
a6,delayed,site2,777,0.0,749.56142,100.0
a6,delayed,site2,999,33.73772,715.8237,98.80556
a6,delayed,site3,7,0.0,122.62310000000005,100.0
a6,delayed,site3,13,0.0,122.62310000000005,100.0
a6,delayed,site3,21,0.0,122.62310000000005,100.0
a6,delayed,site3,42,0.0,122.62310000000005,100.0
a6,delayed,site3,99,0.0,122.62310000000005,100.0
a6,delayed,site3,123,0.0,122.62310000000005,100.0
a6,delayed,site3,314,0.0,122.62310000000005,100.0
a6,delayed,site3,500,0.0,122.62310000000005,100.0
a6,delayed,site3,777,0.0,122.62310000000005,100.0
a6,delayed,site3,999,0.0,122.62310000000005,100.0
a6,delayed,site4,7,0.0,207.05554,100.0
a6,delayed,site4,13,0.0,207.05554,100.0
a6,delayed,site4,21,0.0,207.05554,100.0
a6,delayed,site4,42,0.0,207.05554,100.0
a6,delayed,site4,99,0.0,207.05554,100.0
a6,delayed,site4,123,0.0,207.05554,100.0
a6,delayed,site4,314,0.0,207.05554,100.0
a6,delayed,site4,500,0.0,207.05554,100.0
a6,delayed,site4,777,0.0,207.05554,100.0
a6,delayed,site4,999,0.0,207.05554,100.0
a6,delayed,site5,7,0.0,710.6301599999999,100.0
a6,delayed,site5,13,23.32692,687.30324,99.11111
a6,delayed,site5,21,36.502880000000005,674.1272799999999,98.61111
